name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s,a7_share,eligible,filter_reason,tier,tier1_archive_url
Beryl - Cornwall,GB,ok,109.0,docked_bike,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,4.59,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Cornwall/gbfs.json,0.4,0.0,True,,T2,
Beryl - Greater Manchester,GB,ok,286.0,docked_bike,0.0,30.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://beryl-gbfs-production.web.app/v2_2/Greater_Manchester/gbfs.json,0.3,0.0,True,,T2,
Beryl - Guildford,GB,ok,39.0,docked_bike,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,2.56,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Guildford/gbfs.json,0.2,0.0,True,,T2,
Beryl - Hereford,GB,ok,73.0,docked_bike,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.37,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Hereford/gbfs.json,0.3,0.0,True,,T2,
Beryl - Hertsmere,GB,ok,27.0,docked_bike,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Hertsmere/gbfs.json,0.2,0.0,True,,T2,
Beryl - Isle of Wight,GB,ok,88.0,docked_bike,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,3.41,False,False,False,False,https://gbfs.beryl.cc/v2_2/Isle_of_Wight/gbfs.json,0.3,0.0,True,,T2,
Beryl - Leeds,GB,ok,94.0,docked_bike,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,5.0,5.32,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Leeds/gbfs.json,0.3,0.0,True,,T2,
Beryl - Norwich,GB,ok,205.0,docked_bike,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,4.0,1.95,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Norwich/gbfs.json,0.3,0.0,True,,T2,
Beryl - Plymouth,GB,ok,133.0,docked_bike,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,3.0,2.26,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Plymouth/gbfs.json,0.3,0.0,True,,T2,
Beryl - Portsmouth,GB,ok,104.0,docked_bike,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.96,False,False,False,False,https://gbfs.beryl.cc/v2_2/Portsmouth/gbfs.json,0.3,0.0,True,,T2,
Beryl - Southampton,GB,ok,105.0,docked_bike,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.95,False,False,False,False,https://gbfs.beryl.cc/v2_2/Southampton/gbfs.json,0.3,0.0,True,,T2,
Beryl - Stevenage,GB,ok,47.0,docked_bike,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Stevenage/gbfs.json,0.3,0.0,True,,T2,
Beryl - Watford,GB,ok,97.0,docked_bike,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,1.03,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Watford/gbfs.json,0.3,0.0,True,,T2,
Beryl - West Midlands,GB,ok,257.0,docked_bike,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,7.0,2.72,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/West_Midlands/gbfs.json,0.5,0.0,True,,T2,
Beryl - Weymouth,GB,ok,32.0,docked_bike,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Weymouth/gbfs.json,0.3,0.0,True,,T2,
Beryl - Worcester,GB,ok,56.0,docked_bike,0.0,0.0,6.5,8.0,0.0,0.0,0.0,0.0,3.0,5.36,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Worcester/gbfs.json,0.4,0.0,True,,T2,
Bajs Zagreb (Croatia),HR,ok,197.0,docked_bike,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,15.0,7.61,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_hd/gbfs.json,0.4,0.0,True,,T2,
eMobi,HR,ok,26.0,docked_bike,1.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,4.0,15.38,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_em/gbfs.json,0.3,0.038461538461538464,True,,T2,
Beryl Belfast,IE,ok,61.0,docked_bike,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,5.0,8.2,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Belfast/gbfs.json,0.4,0.0,True,,T2,
Dublinbikes,IE,ok,117.0,docked_bike,0.0,0.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/dublin/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
Milan Bikemi,IT,ok,320.0,docked_bike,0.0,0.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.urbansharing.com/bikemi.com/gbfs.json,0.4,0.0,True,,T2,
Verona Bike,IT,ok,40.0,docked_bike,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.urbansharing.com/bikeverona.it/gbfs.json,0.2,0.0,True,,T2,
CyclOcity,JP,ok,24.0,docked_bike,0.0,1.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://api.cyclocity.fr/contracts/toyama/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
docomo bike share service,JP,ok,5903.0,docked_bike,0.0,58.0,7.0,71.0,0.0,0.0,0.0,0.0,160.0,2.71,False,True,False,False,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle/gbfs.json,4.4,0.0,True,,T2,
docomo bike share service,JP,ok,1825.0,docked_bike,0.0,10.0,8.0,67.0,0.0,0.0,0.0,0.0,6.0,0.33,False,False,False,False,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,3.1,0.0,True,,T2,
Cyclocity,LT,ok,36.0,docked_bike,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/vilnius/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
Vel'OH!,LU,ok,146.0,docked_bike,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,3.0,2.05,False,False,False,False,https://api.cyclocity.fr/contracts/luxembourg/gbfs/v3/gbfs.json,0.4,0.0,True,,T2,
MonaBike,MC,ok,59.0,docked_bike,0.0,4.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://monaco.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
Bergen City Bike,NO,ok,94.0,docked_bike,0.0,0.0,18.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.urbansharing.com/bergenbysykkel.no/gbfs.json,0.3,0.0,True,,T2,
JasKółka,PL,ok,30.0,docked_bike,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,3.33,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_pj/gbfs.json,0.4,0.03333333333333333,True,,T2,
Koszaliński Rower Miejski Poland,PL,ok,20.0,docked_bike,0.0,0.0,11.5,10.0,0.0,0.0,0.0,0.0,2.0,10.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ps/gbfs.json,0.4,0.0,True,,T2,
METROROWER,PL,ok,944.0,docked_bike,1.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,100.0,10.59,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_zz/gbfs.json,0.5,0.001059322033898305,True,,T2,
MEVO,PL,ok,821.0,docked_bike,0.0,0.0,10.0,23.0,0.0,0.0,0.0,0.0,57.0,6.94,False,False,False,False,https://gbfs.urbansharing.com/rowermevo.pl/gbfs.json,0.4,0.0,True,,T2,
VETURILO 3.0,PL,ok,344.0,docked_bike,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,11.0,3.2,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_vw/gbfs.json,0.4,0.0,True,,T2,
WRM nextbike Poland,PL,ok,263.0,docked_bike,7.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,6.0,2.28,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_pl/gbfs.json,0.4,0.026615969581749048,True,,T2,
Bora,PT,ok,39.0,docked_bike,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,12.82,True,False,False,False,https://gbfs.primelayer.pt/gbfs-smartmobility/gbfs/v3/gbfs.json,0.5,0.0,True,,T2,
Buzau VeloCity,RO,ok,49.0,docked_bike,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bv/gbfs.json,0.4,0.0,True,,T2,
Sibiu BikeCity,RO,ok,57.0,docked_bike,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,3.51,False,False,False,False,https://sibiu.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
Slobozia Bike City,RO,ok,21.0,docked_bike,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_rw/gbfs.json,0.4,0.0,True,,T2,
Lundahoj,SE,ok,20.0,docked_bike,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0,False,False,False,False,https://api.cyclocity.fr/contracts/lund/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
BicikeLJ,SI,ok,87.0,docked_bike,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,3.0,3.45,False,False,False,False,https://api.cyclocity.fr/contracts/ljubljana/gbfs/v3/gbfs.json,0.4,0.0,True,,T2,
MBajk,SI,ok,42.0,docked_bike,0.0,2.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://api.cyclocity.fr/contracts/maribor/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
Nomago Bikes -  LJUBLJANA in MEDVODE,SI,ok,49.0,docked_bike,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,6.12,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cc/gbfs.json,0.4,0.0,True,,T2,
Nomago Bikes - GO2GO,SI,ok,21.0,docked_bike,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,9.52,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ce/gbfs.json,0.5,0.0,True,,T2,
Nomago Bikes - KOLESCE,SI,ok,84.0,docked_bike,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,22.0,26.19,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cn/gbfs.json,0.4,0.0,True,,T2,
Senica bajk,SK,ok,26.0,docked_bike,1.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,4.0,15.38,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_av/gbfs.json,0.5,0.038461538461538464,True,,T2,
AAR Bike,TR,ok,118.0,docked_bike,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,9.0,7.63,False,True,False,False,https://app.linkalock.com/api/gbfs/D2uRLGw8vBa2FJxa8/gbfs.json,0.3,0.0,True,,T2,
Bike Chattanooga,US,ok,43.0,docked_bike,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,5.0,11.63,False,False,False,False,https://chattanooga.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.8,0.0,True,,T2,
Biki,US,ok,134.0,docked_bike,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://honolulu.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.6,0.0,True,,T2,
HIBike,US,ok,23.0,docked_bike,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,4.35,False,False,False,False,https://kona.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.2,0.0,True,,T2,
Lyft Scooters Denver,US,ok,119.0,docked_bike,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,2.52,False,False,False,False,https://gbfs.lyft.com/gbfs/2.3/den/gbfs.json,0.9,0.0,True,,T2,
Mogo Detroit,US,ok,81.0,docked_bike,0.0,1.0,15.0,14.0,0.0,0.0,0.0,0.0,2.0,2.47,False,False,True,False,https://detroit.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.9,0.0,True,,T2,
Pogoh,US,ok,60.0,docked_bike,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,1.67,False,False,False,False,https://pittsburgh.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.0,0.0,True,,T2,
Trinity Metro Bikes,US,ok,57.0,docked_bike,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,4.0,7.02,False,False,False,False,https://fortworth.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.8,0.0,True,,T2,
Tugo,US,ok,42.0,docked_bike,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,3.0,7.14,False,True,False,False,https://tucson.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.2,0.0,True,,T2,
WE-cycle,US,ok,99.0,docked_bike,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://aspen.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.8,0.0,True,,T2,
